Opportunity Name,Opportunity Type,Stage,Created Date,EM Gross Planned Value Currency,EM Gross Planned Value (converted),Schedule Amount,Revenue Type,Programmatic Area,FR Purpose/Outcome,Emergency/HAC,Opportunity Lead Entity,Account/Donor Name,Gross Value in USD (Formula),Emergency/HAC Appeal,Recipient Entity,Beneficiary Country/Recipient Country,Beneficiary Region,Opportunity ID,Account ID,Opportunity Gross Value (converted) Currency,Opportunity Gross Value (converted),Account Category,Account Record Type,Account Level,Account Lead Entity,Lead Account's Region,Account Mailing Country,Lead NatCom/CO Acc. Category,Lead NatCom/CO ID,Lead Entity's UNICEF Region,Account: Created Date,Opportunity Lead Entity Name (Formula),Secondary donor,ISO Code,Business Area (CO/RO/PD),Donor,Type of donors,Funding Type ,Goals,Results,Regional Priority Areas,UNICEF Region,Year,Opportunity Type
Partnership Funding,Private,Initial Meetings,3/24/2024,Dollor,315.6903872,74720.07459,ORE-Thematic,"Financial, information and communication technology and administrative managemen",Child Protection,Ukraine Response,,Natcom A,64973.20805,,,Andorra,,,,15920.73991,23937023,Global/Regional Multilaterals,Private Sector,,INNOVATION UNIT,EAPRO,Croatia,,,ESARO,3/24/2024,KYRGYZSTAN CO,African Development Bank (AfDB),AND,Andorra,Natcom A,EU,Other Resources Emergency,ADAP,R5,Connecting,ECA,2022,Private
Innovation and Research Grants,Public,Secured/Won,11/29/2024,Dollor,47164.88841,93598.87654,ORR Non-Thematic,Economic and social policy general,Emergency Response,HAC-UKRAINE,,Natcom c,49611.35616,,,Angola,,,,61049.94652,12203070,University/Education Org.,UNICEF NatCom/CO/Division,,TURKIYE CO,HQ,Belarus,,,MENARO,11/29/2024,ROMANIA CO,Bill & Melinda Gates Foundation,AGO,Angola,Natcom c,Bilateral,Other Resources Emergency,ADAP,R4,Learning,SSA,2022,Private
Innovation and Research Grants,Public,Secured/Won,2/18/2024,Dollor,81233.55064,68508.76671,ORE-Thematic,Birth registration,Education,HAC-ECARO,,ECHO,48341.343,,,Anguilla,,,,75110.76496,34283235,Corporate,Private Sector,,MOLDOVA CO,WCARO,Ukraine,,,MENARO,2/18/2024,GEORGIA CO,European Investment Bank,AIA,Anguilla,ECHO,Private,Other Resources Emergency,CP,R3,Connecting,LACRO,2022,Private
Partnership Funding,Private,Negotiating/Contracting,4/28/2024,Dollor,27734.33254,35125.08258,ORR Non-Thematic,WASH and emergencies,Increased Immunization Rates,HAC-ECARO,,EU ECHO,64498.66797,,,Antigua and Barbuda,,,,98345.18136,14107080,Foundation,Private Sector,,TAJIKISTAN CO,MENARO,Netherlands,,,MENARO,4/28/2024,ECARO,European Investment Bank,ATG,Antigua and Barbuda,EU ECHO,EU,Other Resources Regular,Health,R5,Protecting,LACRO,2024,Private
Advocacy and Policy Support,Public,Initial Meetings,9/20/2024,Dollor,47536.27315,51783.3346,ORR Non-Thematic,Social protection and child poverty,Increased Immunization Rates,HAC-ECARO,,G,34523.44324,,,Argentina,,,,57066.30217,7451271,Country Office,Private Sector,,DENMARK NATCOM,HQ,Tajikistan,,,ECARO,9/20/2024,ROMANIA CO,African Development Bank (AfDB),ARG,Argentina,G,EU,Other Resources Regular,WASH,R5,Connecting,LACRO,2023,Private
Country Programmes,Public,Secured/Won,1/26/2024,Dollor,10938.41902,58965.09777,Revenue Type,Birth registration,Increased Immunization Rates,Emergency/HAC,,Natcom c,79154.16671,,,Armenia,,,,37029.61141,12831527,UN Agency/International Agency,Public Sector,,ARMENIA CO,NatCom,Armenia,,,HQ,1/26/2024,LEBANON CO,USA (State) BPRM,ARM,Armenia,Natcom c,Bilateral,Other Resources Regular,WASH,R2,Protecting,ECA,2023,Private
Emergency Response,Public,Negotiating/Contracting,7/27/2024,Dollor,5923.90308,3674.510216,ORE-Thematic,Child Protection – General,Advocacy,HAC-UKRAINE,,Natcom A,68805.04902,,,Australia,,,,37159.45469,1226448,Ministry,Public Sector,,ARMENIA CO,ROSA,Belarus,,,NatCom,7/27/2024,MOLDOVA CO,Bureau for Humanitarian Assistance,AUS,Australia,Natcom A,Bilateral,Other Resources Emergency,Education,R1,Connecting,EAPRO,2024,Private
Global Thematic Programs,Private,Initial Meetings,9/6/2024,Dollor,2598.577301,38231.38815,ORE-Thematic,"Field office oversight, management and operations support",Emergency Response,HAC-ECARO,,Natcom A,51641.58177,,,Austria,,,,65515.87311,38615115,Central Government,Public Sector,,ALBANIA CO,WCARO,Armenia,,,HQ,9/6/2024,KYRGYZSTAN CO,Bureau for Humanitarian Assistance,AUT,Austria,Natcom A,Bilateral,Other Resources Regular,WASH,R5,Thriving,ECA,2023,Private
Emergency Response,Public,Initial Meetings,8/6/2024,Dollor,91127.06304,59623.52348,Revenue Type,Nutrition – General,Health,HAC-ECARO,,EU ECHO,84823.39987,,,Azerbaijan,,,,19094.46457,6067597,Membership based organizations,Private Sector,,TURKIYE CO,NatCom,Denmark,,,ESARO,8/6/2024,KYRGYZSTAN CO,Bureau for Humanitarian Assistance,AZE,Azerbaijan,EU ECHO,Bilateral,Other Resources Emergency,WASH,R1,Including,ECA,2023,Private
Humanitarian Funding,Private,Secured/Won,11/10/2024,Dollor,97024.56278,31251.33673,ORE-Thematic,WASH – General,Education,HAC-UKRAINE,,EU ECHO,88895.58078,,,Bahamas,,,,4769.031112,25394022,Corporate,Corporate Account,,KYRGYZSTAN CO,EAPRO,Ukraine,,,MENARO,11/10/2024,BULGARIA CO,European Investment Bank,BHS,Bahamas,EU ECHO,EU,Other Resources Regular,WASH,R2,Learning,LACRO,2022,Private
Development Initiatives,Private,Secured/Won,5/16/2024,Dollor,52156.81198,56001.33555,ORE-Thematic,Cross-sectoral Early Childhood Development,Health,Ukraine Response,,ECHO,19365.43398,,,Bahrain,,,,50764.40964,8914653,Central Government,Private Sector,,US FUND,WCARO,Tajikistan,,,ECARO,5/16/2024,ARMENIA CO,European Investment Bank,BHR,Bahrain,ECHO,EU,Other Resources Regular,ADAP,R3,Connecting,MENA,2022,Private
Innovation and Research Grants,Public,Secured/Won,8/29/2024,Dollor,58383.03974,71503.82114,ORE-Thematic,WASH in Schools and ECD centres,Health,HAC-ECARO,,C,15416.83158,,,Bangladesh,,,,82844.96545,13035392,Corporate,Public Sector,,MOLDOVA CO,ROSA,United States,,,ESARO,8/29/2024,KOSOVO CO,The United Kingdom,BGD,Bangladesh,C,Private,Other Resources Regular,Education,R2,Connecting,ROSA,2022,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,7/4/2024,Dollor,16331.42609,97816.58251,ORR Non-Thematic,HIV – General,Education,HAC-UKRAINE,,G,78521.44226,,,Barbados,,,,87861.87078,39139717,University/Education Org.,Private Sector,,ARMENIA CO,WCARO,Armenia,,,NatCom,7/4/2024,SOMALIA CO,African Development Bank (AfDB),BRB,Barbados,G,EU,Other Resources Regular,ADAP,R4,Protecting,LACRO,2023,Private
Country Programmes,Public,Negotiating/Contracting,7/1/2024,Dollor,88864.7625,66892.86719,ORR Non-Thematic,Cross-sectoral Early Childhood Development,Education,HAC-UKRAINE,,C,2667.082327,,,Belarus,,,,80455.83771,4441842,Other,UNICEF NatCom/CO/Division,,ARMENIA CO,MENARO,Russian Federation,,,MENARO,7/1/2024,TAJIKISTAN CO,Unilever,BLR,Belarus,C,Bilateral,Other Resources Regular,WASH,R1,Thriving,ECA,2022,Private
Country Programmes,Public,Negotiating/Contracting,1/16/2024,Dollor,89850.55476,23066.69564,ORE-Thematic,Education – General,Health,Ukraine Response,,G,4773.892172,,,Belgium,,,,28856.61271,11218752,Governmental Organization,Public Sector,,BULGARIA CO,EAPRO,Croatia,,,ECARO,1/16/2024,TAJIKISTAN CO,African Development Bank (AfDB),BEL,Belgium,G,EU,Other Resources Emergency,Child Protection,R2,Including,ECA,2022,Private
Development Initiatives,Private,Secured/Won,10/31/2024,Dollor,54719.55117,99331.27349,ORE-Thematic,Social protection and child poverty,Health,HAC-ECARO,,C,74529.64399,,,Belize,,,,24017.52218,9017384,Sport Associations,Private Sector,,PPD,NatCom,Ukraine,,,ECARO,10/31/2024,BULGARIA CO,The United Kingdom,BLZ,Belize,C,Private,Other Resources Emergency,Education,R2,Thriving,LACRO,2024,Private
Emergency Response,Public,Initial Meetings,7/11/2024,Dollor,49050.62992,58130.08151,ORE-Thematic,Learning and child-friendly schools,Advocacy,Emergency/HAC,,Natcom c,20145.89255,,,Benin,,,,64779.50808,32548130,Governmental Organization,Private Sector,,ROMANIA CO,HQ,Croatia,,,ECARO,7/11/2024,ROMANIA CO,Bill & Melinda Gates Foundation,BEN,Benin,Natcom c,Bilateral,Other Resources Emergency,ADAP,R3,Thriving,SSA,2023,Private
Humanitarian Funding,Private,Negotiating/Contracting,3/17/2024,Dollor,17168.32136,53276.90557,ORE-Thematic,Data and Child Protection,Education,HAC-STATE OF PALESTINE,,EU ECHO,61794.86246,,,Bhutan,,,,51352.5659,9976133,Sport Associations,UNICEF NatCom/CO/Division,,CROATIA CO,EAPRO,Denmark,,,ESARO,3/17/2024,GEORGIA CO,European Investment Bank,BTN,Bhutan,EU ECHO,EU,Other Resources Regular,Education,R1,Connecting,ROSA,2023,Private
Emergency Response,Public,Secured/Won,9/29/2024,Dollor,20888.57075,87319.67348,Revenue Type,Malaria,Education,HAC-ECARO,,EU ECHO,58621.55765,,,Bolivia (Plurinational State of),,,,32726.5933,27481131,Country Office,UNICEF NatCom/CO/Division,,SENEGAL CO,NatCom,Ukraine,,,NatCom,9/29/2024,CROATIA CO,European Investment Bank,BOL,Bolivia (Plurinational State of),EU ECHO,EU,Other Resources Emergency,WASH,R1,Protecting,LACRO,2023,Private
Humanitarian Funding,Private,Initial Meetings,6/19/2024,Dollor,47959.97065,24828.74221,ORR Non-Thematic,Education – General,Education,Emergency/HAC,,ECHO,53326.49595,,,Bosnia and Herzegovina,,,,21078.18841,33427707,Sport Associations,Private Sector,,UZBEKISTAN CO,ROSA,Montenegro,,,ESARO,6/19/2024,CROATIA CO,European Investment Bank,BIH,Bosnia and Herzegovina,ECHO,Private,Other Resources Regular,SP,R2,Including,ECA,2024,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,7/30/2024,Dollor,39045.26892,26643.92431,ORE-Thematic,ACT-A/COVAX Pillar 4: RCCE,Advocacy,HAC-ARMENIA,,ECHO,39136.57047,,,Botswana,,,,52016.41952,23644849,UN Agency/International Agency,Public Sector,,UK NATCOM,WCARO,Belarus,,,ECARO,7/30/2024,SERBIA CO,Unilever,BWA,Botswana,ECHO,Bilateral,Other Resources Emergency,SP,R2,Connecting,SSA,2024,Private
Global Thematic Programs,Private,Initial Meetings,8/12/2024,Dollor,47815.97525,97629.82825,ORR Non-Thematic,Child Protection systems,Health,HAC-STATE OF PALESTINE,,ECHO,18372.86237,,,Brazil,,,,68716.71659,38129356,Ministry,Public Sector,,DENMARK NATCOM,ECARO,Japan,,,NatCom,8/12/2024,TURKIYE NATCOM,European Investment Bank,BRA,Brazil,ECHO,EU,Other Resources Regular,ADAP,R1,Protecting,LACRO,2022,Private
Advocacy and Policy Support,Public,Initial Meetings,9/5/2024,Dollor,48725.89844,69540.56074,Revenue Type,HIV – General,Education,HAC-ARMENIA,,Natcom c,67539.32645,,,British Virgin Islands,,,,9526.245265,37755336,Multi-Stakeholder Partnership,UNICEF NatCom/CO/Division,,MOLDOVA CO,NatCom,Montenegro,,,HQ,9/5/2024,ECARO,Bill & Melinda Gates Foundation,VGB,British Virgin Islands,Natcom c,Bilateral,Other Resources Emergency,SP,R3,Thriving,LACRO,2022,Private
Innovation and Research Grants,Private,Secured/Won,2/18/2024,Dollor,42260.37716,19757.87794,ORE-Thematic,Gender Equality General,Health,Ukraine Response,,G,52529.61123,,,Brunei Darussalam,,,,20353.25526,31860361,IFI/RDB,Public Sector,,INDIA CO,ROSA,Armenia,,,ECARO,2/18/2024,TURKIYE CO,African Development Bank (AfDB),BRN,Brunei Darussalam,G,EU,Other Resources Regular,ADAP,R3,Protecting,EAPRO,2023,Private
Advocacy and Policy Support,Public,Secured/Won,4/3/2024,Dollor,74443.25426,57510.34101,Revenue Type,Learning and child-friendly schools,Emergency Response,HAC-ECARO,,C,64869.2515,,,Bulgaria,,,,62428.8795,31266813,University/Education Org.,Public Sector,,QATAR CO,NatCom,Albania,,,NatCom,4/3/2024,MOLDOVA CO,Unilever,BGR,Bulgaria,C,Bilateral,Other Resources Emergency,Education,R2,Including,ECA,2022,Private
Country Programmes,Public,Secured/Won,5/11/2024,Dollor,81769.33067,3282.446839,ORE-Thematic,Nutrition – Overweight & Obesity,Advocacy,HAC-STATE OF PALESTINE,,G,91164.72613,,,Burkina Faso,,,,12053.78377,26950571,Country Office,Private Sector,,ALBANIA CO,EAPRO,Russian Federation,,,NatCom,5/11/2024,GEORGIA CO,African Development Bank (AfDB),BFA,Burkina Faso,G,EU,Other Resources Emergency,ADAP,R2,Protecting,SSA,2024,Private
Development Initiatives,Private,Secured/Won,5/27/2024,Dollor,69428.69747,27770.68946,Revenue Type,Health systems strengthening,Education,HAC-UKRAINE,,EU ECHO,24021.16703,,,Burundi,,,,35334.95804,35169724,University/Education Org.,Private Sector,,INDIA CO,NatCom,United States,,,ECARO,5/27/2024,PPD,Bureau for Humanitarian Assistance,BDI,Burundi,EU ECHO,Bilateral,Other Resources Regular,ADAP,R4,Connecting,SSA,2022,Private
Advocacy and Policy Support,Public,Initial Meetings,5/4/2024,Dollor,72375.82046,82893.29841,ORE-Thematic,PMTCT and infant male circumcision,Health,HAC-ECARO,,C,91427.88326,,,Cabo Verde,,,,27596.26511,31118794,UN Agency/International Agency,Private Sector,,DENMARK NATCOM,MENARO,Russian Federation,,,NatCom,5/4/2024,UKRAINE CO,Unilever,CPV,Cabo Verde,C,Bilateral,Other Resources Emergency,Education,R4,Thriving,SSA,2024,Private
Global Thematic Programs,Private,Negotiating/Contracting,5/29/2024,Dollor,97952.52847,54759.19556,ORR Non-Thematic,ACT-A/COVAX Pillar 1 - Diagnostics,Education,HAC-UKRAINE,,Natcom A,88207.33859,,,Cambodia,,,,66842.25683,21568940,University/Education Org.,Public Sector,,SENEGAL CO,WCARO,Belarus,,,HQ,5/29/2024,TURKIYE CO,African Development Bank (AfDB),KHM,Cambodia,Natcom A,EU,Other Resources Emergency,SP,R2,Thriving,EAPRO,2023,Private
Country Programmes,Public,Negotiating/Contracting,8/23/2024,Dollor,9642.423754,62272.53512,ORR Non-Thematic,"Protect, care and support children and families affected by HIV",Emergency Response,HAC-ARMENIA,,Natcom A,72609.0023,,,Cameroon,,,,30802.61929,39573692,IFI/RDB,Private Sector,,MOLDOVA CO,MENARO,Greece,,,ESARO,8/23/2024,ARMENIA CO,African Development Bank (AfDB),CMR,Cameroon,Natcom A,EU,Other Resources Emergency,ADAP,R5,Including,SSA,2024,Private
Development Initiatives,Private,Initial Meetings,3/15/2024,Dollor,47905.51207,74562.28823,Revenue Type,Child Protection and emergencies,Child Protection,Ukraine Response,,Natcom d,73363.11578,,,Canada,,,,25454.2334,24355270,Corporate,UNICEF NatCom/CO/Division,,DENMARK NATCOM,MENARO,Armenia,,,ESARO,3/15/2024,GEORGIA CO,African Development Bank (AfDB),CAN,Canada,Natcom d,EU,Other Resources Regular,Health,R3,Connecting,NA,2022,Private
Partnership Funding,Private,Negotiating/Contracting,11/15/2024,Dollor,11000.14422,21479.04728,Revenue Type,Nutrition – Overweight & Obesity,Emergency Response,HAC-UKRAINE,,ECHO,75043.66912,,,Central African Republic,,,,88887.06059,16223142,Membership based organizations,UNICEF NatCom/CO/Division,,CHINA CO,ECARO,Denmark,,,MENARO,11/15/2024,GEORGIA CO,European Investment Bank,CAF,Central African Republic,ECHO,EU,Other Resources Emergency,SP,R5,Thriving,SSA,2022,Private
Humanitarian Funding,Private,Secured/Won,7/17/2024,Dollor,30362.95755,39700.52415,ORR Non-Thematic,Child health,Emergency Response,HAC-UKRAINE,,C,12239.87024,,,Chad,,,,62572.2977,37025841,Membership based organizations,Private Sector,,MOLDOVA CO,HQ,Belarus,,,HQ,7/17/2024,ROMANIA CO,Unilever,TCD,Chad,C,Bilateral,Other Resources Emergency,ADAP,R4,Connecting,SSA,2022,Private
Country Programmes,Public,Secured/Won,8/15/2024,Dollor,80433.19371,16459.99796,Revenue Type,Health and emergencies,Advocacy,HAC-UKRAINE,,Natcom c,75933.76514,,,Chile,,,,94609.01302,30011456,Account Category,UNICEF NatCom/CO/Division,,KOSOVO CO,MENARO,Russian Federation,,,ECARO,8/15/2024,US FUND,USA (State) BPRM,CHL,Chile,Natcom c,Bilateral,Other Resources Regular,CP,R4,Thriving,LACRO,2023,Private
Country Programmes,Public,Negotiating/Contracting,4/22/2024,Dollor,40494.74051,7481.774773,ORE-Thematic,Technical leadership for programme outcomes,Education,HAC-UKRAINE,,G,8788.748265,,,China,,,,33775.54207,19294798,Other,Private Sector,,SERBIA CO,ROSA,Armenia,,,ESARO,4/22/2024,SERBIA CO,African Development Bank (AfDB),CHN,China,G,EU,Other Resources Regular,SP,R3,Including,EAPRO,2023,Private
Innovation and Research Grants,Private,Initial Meetings,11/24/2024,Dollor,71561.00306,94148.41787,Revenue Type,WASH and emergencies,Advocacy,HAC-STATE OF PALESTINE,,ECHO,17183.29141,,,Colombia,,,,69224.15994,32495771,Corporate,Private Sector,,DENMARK NATCOM,EAPRO,Armenia,,,NatCom,11/24/2024,ECARO,European Investment Bank,COL,Colombia,ECHO,EU,Other Resources Emergency,CP,R1,Connecting,LACRO,2023,Private
Humanitarian Funding,Private,Secured/Won,11/6/2024,Dollor,13732.70382,91148.21439,Revenue Type,Human rights institutions,Advocacy,Ukraine Response,,EU ECHO,57518.97229,,,Comoros,,,,43959.42324,22219207,UN Agency/International Agency,Private Sector,,DENMARK NATCOM,MENARO,Qatar,,,ECARO,11/6/2024,SOMALIA CO,Bureau for Humanitarian Assistance,COM,Comoros,EU ECHO,Bilateral,Other Resources Emergency,CP,R3,Learning,SSA,2022,Private
Partnership Funding,Private,Initial Meetings,9/1/2024,Dollor,4170.34033,90839.28979,Revenue Type,WASH – General,Advocacy,HAC-UKRAINE,,C,45814.23428,,,Congo,,,,51874.41942,19514516,Other,Public Sector,,KOSOVO CO,HQ,Bulgaria,,,HQ,9/1/2024,MONTENEGRO CO,African Development Bank (AfDB),COG,Congo,C,EU,Other Resources Emergency,Health,R3,Learning,SSA,2023,Private
Global Thematic Programs,Private,Negotiating/Contracting,1/30/2024,Dollor,26683.42264,7046.408206,ORR Non-Thematic,Private sector fundraising,Child Protection,HAC-UKRAINE,,C,87667.42478,,,Cook Islands,,,,86533.70279,683667,Membership based organizations,Private Sector,,PPD,EAPRO,Armenia,,,ESARO,1/30/2024,TURKIYE CO,African Development Bank (AfDB),COK,Cook Islands,C,EU,Other Resources Emergency,ADAP,R3,Connecting,EAPRO,2024,Private
Development Initiatives,Private,Secured/Won,11/16/2024,Dollor,71356.72182,40266.86415,ORE-Thematic,Health systems strengthening,Health,HAC-UKRAINE,,Natcom c,55131.74605,,,Costa Rica,,,,52490.02462,36232058,IFI/RDB,Public Sector,,MONTENEGRO CO,ECARO,Netherlands,,,ESARO,11/16/2024,TURKIYE CO,World Bank - Washington D.C.,CRI,Costa Rica,Natcom c,Private,Other Resources Regular,Education,R3,Including,LACRO,2022,Private
Innovation and Research Grants,Public,Secured/Won,3/11/2024,Dollor,20610.22395,42679.90551,ORE-Thematic,ACT-A/COVAX Pillar 1 - Diagnostics,Health,HAC-ECARO,,Natcom c,83438.94398,,,Côte d'Ivoire,,,,11879.13713,3126975,Women's and diaspora organizations,Private Sector,,FRANCE NATCOM,ROSA,Ukraine,,,NatCom,3/11/2024,GREECE CO,African Development Bank (AfDB),CIV,Côte d'Ivoire,Natcom c,EU,Other Resources Regular,SP,R2,Thriving,SSA,2023,Private
Innovation and Research Grants,Private,Initial Meetings,9/25/2024,Dollor,10524.17294,82959.91688,ORE-Thematic,Early learning,Child Protection,Emergency/HAC,,Natcom d,25871.92195,,,Croatia,,,,58654.08571,13633270,UN Agency/International Agency,Private Sector,,UK NATCOM,HQ,Ukraine,,,NatCom,9/25/2024,SERBIA CO,African Development Bank (AfDB),HRV,Croatia,Natcom d,EU,Other Resources Emergency,ADAP,R4,Including,ECA,2023,Private
Emergency Response,Public,Negotiating/Contracting,10/28/2024,Dollor,29551.8221,66006.14892,ORE-Thematic,Cross-sectoral planning and programme reviews,Increased Immunization Rates,HAC-ECARO,,Natcom d,13715.217,,,Cuba,,,,22923.06667,31954229,UN Agency/International Agency,Corporate Account,,SENEGAL CO,WCARO,Cyprus,,,ECARO,10/28/2024,MONTENEGRO CO,African Development Bank (AfDB),CUB,Cuba,Natcom d,EU,Other Resources Regular,Health,R4,Protecting,LACRO,2024,Private
Humanitarian Funding,Private,Secured/Won,11/4/2024,Dollor,77087.59437,64554.51666,Revenue Type,Public finance and local governance,Health,HAC-STATE OF PALESTINE,,C,78920.34809,,,Cyprus,,,,96021.17277,425028,Multi-Stakeholder Partnership,Private Sector,,NETHERLANDS NATCOM,ECARO,Tajikistan,,,NatCom,11/4/2024,GEORGIA CO,Unilever,CYP,Cyprus,C,Bilateral,Other Resources Emergency,SP,R4,Protecting,ECA,2022,Private
Humanitarian Funding,Private,Initial Meetings,3/24/2024,Dollor,7707.61256,21932.80853,ORE-Thematic,Immunization,Health,HAC-ARMENIA,,G,88188.95239,,,Czechia,,,,5828.021665,21844296,Foundation,Private Sector,,ARMENIA CO,HQ,Switzerland,,,MENARO,3/24/2024,ALBANIA CO,The United Kingdom,CZE,Czechia,G,Private,Other Resources Emergency,WASH,R3,Thriving,ECA,2022,Private
Global Thematic Programs,Private,Negotiating/Contracting,1/11/2024,Dollor,50297.90584,59953.84757,Revenue Type,Other – including procurement services,Education,HAC-UKRAINE,,G,2324.232087,,,Democratic People's Republic of Korea,,,,77279.19522,91629,Corporate,Private Sector,,BELARUS CO,ECARO,Albania,,,ESARO,1/11/2024,UKRAINE CO,Unilever,PRK,Democratic People's Republic of Korea,G,Bilateral,Other Resources Regular,WASH,R5,Protecting,EAPRO,2024,Private
Emergency Response,Public,Secured/Won,10/22/2024,Dollor,83225.49327,23803.61108,Revenue Type,Nutrition and HIV,Health,HAC-ECARO,,EU ECHO,78329.86568,,,Democratic Republic of the Congo,,,,44373.47433,8229990,Country Office,Public Sector,,DENMARK NATCOM,ROSA,Cyprus,,,HQ,10/22/2024,GREECE CO,Bureau for Humanitarian Assistance,COD,Democratic Republic of the Congo,EU ECHO,Bilateral,Other Resources Regular,Child Protection,R5,Connecting,SSA,2023,Private
Development Initiatives,Private,Negotiating/Contracting,8/8/2024,Dollor,37465.58022,38296.13891,ORR Non-Thematic,Oversight and assurance,Education,Emergency/HAC,,G,87633.64137,,,Denmark,,,,75347.32197,20474171,Ministry,Public Sector,,GEORGIA CO,WCARO,Bulgaria,,,MENARO,8/8/2024,SOMALIA CO,African Development Bank (AfDB),DNK,Denmark,G,EU,Other Resources Emergency,WASH,R5,Thriving,ECA,2023,Private
Emergency Response,Public,Secured/Won,6/19/2024,Dollor,68100.58082,92726.38727,Revenue Type,Human rights institutions,Health,HAC-STATE OF PALESTINE,,Natcom A,88441.04035,,,Djibouti,,,,43107.69269,10104663,Corporate,Private Sector,,BULGARIA CO,EAPRO,Belarus,,,HQ,6/19/2024,BELARUS CO,World Bank - Washington D.C.,DJI,Djibouti,Natcom A,Private,Other Resources Emergency,SP,R1,Including,SSA,2022,Private
Partnership Funding,Private,Secured/Won,3/28/2024,Dollor,63620.83118,54894.29025,Revenue Type,Early learning,Emergency Response,Ukraine Response,,Natcom d,83696.92188,,,Dominica,,,,44670.97793,8286032,Foundation,UNICEF NatCom/CO/Division,,GREECE CO,EAPRO,Japan,,,HQ,3/28/2024,PPD,African Development Bank (AfDB),DMA,Dominica,Natcom d,EU,Other Resources Regular,WASH,R3,Thriving,LACRO,2024,Private
Emergency Response,Public,Secured/Won,7/28/2024,Dollor,31412.76555,42530.64559,Revenue Type,Economic and social policy general,Health,Ukraine Response,,Natcom c,49421.54289,,,Dominican Republic,,,,84.61014022,10035119,Corporate,UNICEF NatCom/CO/Division,,UKRAINE CO,NatCom,Ukraine,,,HQ,7/28/2024,ARMENIA CO,USA (State) BPRM,DOM,Dominican Republic,Natcom c,Bilateral,Other Resources Regular,Health,R5,Learning,LACRO,2022,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,6/2/2024,Dollor,23037.97628,70790.28964,ORE-Thematic,PFP,Child Protection,HAC-ECARO,,EU ECHO,21991.88582,,,Ecuador,,,,99217.31249,20429735,Central Government,Private Sector,,DENMARK NATCOM,EAPRO,Tajikistan,,,MENARO,6/2/2024,GEORGIA CO,European Investment Bank,ECU,Ecuador,EU ECHO,EU,Other Resources Regular,Child Protection,R1,Protecting,LACRO,2022,Private
Partnership Funding,Private,Initial Meetings,1/13/2024,Dollor,42220.73373,26275.35503,ORE-Thematic,Gender Equality General,Child Protection,HAC-ECARO,,C,81042.40922,,,Egypt,,,,11275.06664,16281522,Sport Associations,Private Sector,,INDIA CO,ECARO,France,,,ECARO,1/13/2024,TAJIKISTAN CO,The United Kingdom,EGY,Egypt,C,Private,Other Resources Emergency,ADAP,R5,Protecting,MENA,2022,Private
Partnership Funding,Private,Initial Meetings,4/1/2024,Dollor,69829.21249,628.3756827,ORE-Thematic,Public finance and local governance,Health,Emergency/HAC,,Natcom c,82882.11231,,,El Salvador,,,,16863.9997,26669664,Corporate Foundation,Public Sector,,MOLDOVA CO,NatCom,Serbia,,,ECARO,4/1/2024,SERBIA CO,African Development Bank (AfDB),SLV,El Salvador,Natcom c,EU,Other Resources Regular,CP,R5,Learning,LACRO,2024,Private
Global Thematic Programs,Private,Secured/Won,5/28/2024,Dollor,63663.50053,59145.32102,ORR Non-Thematic,PMTCT and infant male circumcision,Education,HAC-ARMENIA,,Natcom d,5501.85575,,,Equatorial Guinea,,,,54404.12309,4295701,Corporate,Public Sector,,KOSOVO CO,NatCom,Tajikistan,,,ESARO,5/28/2024,LEBANON CO,Bureau for Humanitarian Assistance,GNQ,Equatorial Guinea,Natcom d,Bilateral,Other Resources Emergency,Education,R2,Learning,SSA,2024,Private
Innovation and Research Grants,Public,Initial Meetings,5/11/2024,Dollor,53198.06662,60812.06352,Revenue Type,Human rights institutions,Child Protection,HAC-STATE OF PALESTINE,,Natcom d,18054.91944,,,Eritrea,,,,10861.79821,28737888,University/Education Org.,Corporate Account,,GEORGIA CO,ECARO,Uzbekistan,,,HQ,5/11/2024,UKRAINE CO,African Development Bank (AfDB),ERI,Eritrea,Natcom d,EU,Other Resources Regular,SP,R4,Protecting,SSA,2022,Private
Country Programmes,Public,Initial Meetings,1/8/2024,Dollor,53253.90524,18670.25075,ORR Non-Thematic,Early learning,Advocacy,HAC-UKRAINE,,C,48934.036,,,Estonia,,,,49591.21027,21972570,University/Education Org.,Public Sector,,INNOVATION UNIT,EAPRO,Montenegro,,,ESARO,1/8/2024,UKRAINE CO,Unilever,EST,Estonia,C,Bilateral,Other Resources Emergency,ADAP,R3,Learning,ECA,2022,Private
Emergency Response,Public,Initial Meetings,3/10/2024,Dollor,25250.60256,73734.63932,ORE-Thematic,Emergencies,Increased Immunization Rates,HAC-ARMENIA,,ECHO,78828.01028,,,Ethiopia,,,,17131.79874,20032895,Country Office,Private Sector,,BULGARIA CO,HQ,Japan,,,ECARO,3/10/2024,PPD,Unilever,ETH,Ethiopia,ECHO,Bilateral,Other Resources Emergency,ADAP,R5,Thriving,SSA,2022,Private
